inn,brand_name,brand_key,sponsor,authority,route_final,form_canon,sponsor_class,strength_raw,total_mg,total_volume_ml,conc_mg_per_ml,presentation_type,presentation_idx,most_recent_nct_id,most_recent_phase
denosumab,DENOSUMAB-BMWO,DENOSUMAB-BMWO,"CELLTRION USA, Inc.",FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,ENOBY,ENOBY,Hikma Pharmaceuticals USA Inc.,FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,XTRENBO,XTRENBO,Hikma Pharmaceuticals USA Inc.,FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
denosumab,BILPREVDA,BILPREVDA,Organon LLC,FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
denosumab,BILDYOS,BILDYOS,Organon LLC,FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,OSENVELT,OSENVELT,"CELLTRION USA, Inc.",FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
denosumab,DENOSUMAB-BMWO,DENOSUMAB-BMWO,"CELLTRION USA, Inc.",FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
denosumab,OSPOMYV,OSPOMYV,Cordavis Limited,FDA,SC,prefilled_syringe,biosimilar,60 mg/mL,,,60.0,liquid,0,UNKNOWN,Approved
denosumab,OZILTUS,OZILTUS,Amneal Pharmaceuticals LLC,FDA,SC,solution,biosimilar,120 mg/1.7 mL (70 mg/mL),120.0,1.7,70.58823529411765,liquid,0,UNKNOWN,Approved
depemokimab,EXDENSUR,EXDENSUR,GlaxoSmithKline LLC,FDA,SC,solution,originator,100 mg/mL,,,100.0,other,0,UNKNOWN,Approved
dinutuximab,UNITUXIN,UNITUXIN,United Therapeutics Corporation,FDA,IV,solution,originator,17.5 mg/5 mL (3.5 mg/mL),17.5,5.0,3.5,liquid,0,NCT06450041,Phase 2
donanemab,KISUNLA,KISUNLA,Eli Lilly and Company,FDA,IV,solution,originator,350 mg/20 mL (17.5 mg/mL),350.0,20.0,17.5,liquid,0,NCT07167966,Phase 2
dostarlimab,JEMPERLI,JEMPERLI,GlaxoSmithKline LLC,FDA,IV,solution,originator,500 mg/10 mL (50 mg/mL),500.0,10.0,50.0,liquid,0,NCT04387084,Phase 1
